ime,država,zvrst,leto,status
Agalloch,United States,"Doom,Atmospheric,Folk,Rock",1995,3
Running Wild,Germany,"Heavy,Speed,Power",1979,1
Einherjer,Norway,Viking,1993,1
Wrathchild America,United States,"Thrash,Heavy",1988,5
Whiplash,United States,"Thrash,Speed",1984,1
Defiance,United States,Thrash,1985,3
Winter,United States,"Death,Doom",1988,1
Brainstorm,Germany,Power,1989,1
Rotting Christ,Greece,"Gothic,Grindcore,Black,Extreme",1987,1
Razor,Canada,"Thrash,Speed",1983,1
ÐÐµÐ³Ð¸Ð¾Ð½,Russia,"Melodic,Heavy,Power",1979,1
Steel Prophet,United States,Power,1983,1
Prostitute Disfigurement,Netherlands,"Death,Brutal",2001,1
Vomitory,Sweden,Death,1989,3
Impellitteri,United States,"Heavy,Shred",1987,1
Rob Rock,United States,"Heavy,Power",2000,1
Vomit Remnants,Japan,"Death,Brutal",1997,1
Radigost,Russia,"Melodic,Doom,Black",1996,2
Ossuary,Belarus,"Death,Brutal",1996,1
Malamor,United States,Death,1993,1
Disgorge,United States,"Death,Brutal",1992,1
Aeon,Sweden,Death,1999,1
Beheaded,Malta,"Death,Brutal",1991,1
Iron Savior,Germany,"Speed,Power",1996,1
Eucharist,Sweden,"Melodic,Death",1989,1
Avantasia,Germany,"Symphonic,Power",2000,1
Ensiferum,Finland,"Epic,Folk",1995,1
Eternal Tears of Sorrow,Finland,"Thrash,Melodic,Symphonic,Death",1994,1
Exhorder,United States,"Thrash,Groove",1985,4
Machine Head,United States,"Thrash,Groove,Nu",1992,1
Thyrfing,Sweden,"Viking,Black",1995,1
Pan.Thy.Monium,Sweden,"Death,Progressive",1990,3
Morgion,United States,"Death,Doom",1990,3
QueensrÃ¿che,United States,"Heavy,Progressive,Power",1982,1
Satyricon,Norway,Black,1991,1
U.D.O.,Germany,Heavy,1987,1
Sanctuary,United States,"Heavy,Groove,Progressive,Power",1985,1
Impaled Nazarene,Finland,Black,1990,1
Gemisuadi,United States,"Death,Brutal",2000,3
Soils of Fate,Sweden,"Death,Brutal",1995,1
Sect of Execration,United States,"Death,Brutal",1999,1
Beherit,Finland,"Dark,Black,Ambient",1989,1
Saprogenic,United States,"Death,Brutal",2001,1
Mortician,United States,"Grindcore,Death,Brutal",1989,1
Agony,Sweden,Thrash,1984,3
Conspirator,Germany,"Heavy,Thrash,Doom",1993,3
Esoteric,United Kingdom,"Death,Funeral,Doom",1992,1
Violent Hate,Brazil,Death,1990,1
Cinerary,United States,"Death,Brutal",2000,1
Disastrous Murmur,Austria,Death,1988,1
Unleashed,Sweden,Death,1989,1
Windir,Norway,"Viking,Black,Folk",1994,3
Old Man's Child,Norway,"Melodic,Black",1993,4
Pyrexia,United States,"Death,Groove,Brutal",1990,1
Mithotyn,Sweden,"Viking,Black",1993,3
Paragon,Germany,"Speed,Power",1990,1
Diktat,France,"Death,Brutal",1997,1
Diabolical,Sweden,"Thrash,Death",1998,1
Toranaga,United Kingdom,Thrash,1985,1
D.A.M.,United Kingdom,Thrash,1986,1
Taake,Norway,Black,1995,1
Metal Church,United States,"Heavy,Thrash,Power",1980,1
Regurgitate,Sweden,Goregrind,1990,3
Vio-lence,United States,Thrash,1985,3
Forbidden,United States,Thrash,1987,2
The Sins of Thy Beloved,Norway,"Symphonic,Gothic,Doom",1996,3
Slaughter,Canada,"Thrash,Death",1984,3
Lost Horizon,Sweden,Power,1998,2
Heathen,United States,"Technical,Thrash,Speed",1984,1
Manilla Road,United States,"Heavy,Epic,Power",1977,1
Conception,Norway,"Power,Progressive",1989,3
Crimson Glory,United States,"Heavy,Power,Progressive",1983,4
Ildjarn,Norway,"Black,Ambient",1991,3
Absurd,Germany,"Heavy,Black,RAC",1992,1
Philadelphia,United States,Heavy,1981,1
Swastyka,Poland,Black,1998,5
Marduk,Sweden,Black,1990,1
Elvenking,Italy,"Melodic,Folk,Power",1997,1
Luca Turilli,Italy,"Symphonic,Power",1999,3
Liquid Tension Experiment,United States,"Technical,Progressive,Rock",1997,4
Graveland,Poland,"Viking,Pagan,Black",1991,1
Grave Digger,Germany,"Heavy,Speed,Power",1980,1
In the Woods...,Norway,"Black,Progressive,Rock",1991,1
Trouble,United States,"Stoner,Doom,Psychedelic",1979,1
Bifrost,Netherlands,Thrash,1992,3
Amon,Czech Republic,Black,1989,1
Digger,Germany,Heavy,1986,5
Alastor,Portugal,"Thrash,Black",1988,1
Kyuss,United States,"Stoner,Rock",1991,5
Primordial,Ireland,"Celtic,Black,Folk",1993,1
Diamond Head,United Kingdom,"NWOBHM,Hard,Rock",1976,1
Abhorrence,Brazil,"Death,Brutal",1997,3
Malignancy,United States,"Technical,Death,Brutal",1992,1
Montreal,Argentina,Heavy,1994,1
Profanity,Germany,Death,1993,1
Necrophagia,United States,Death,1983,1
Electric Wizard,United Kingdom,"Stoner,Doom",1993,1
Heretic,Netherlands,Black,1995,1
Hateful Agony,Germany,Thrash,1997,1
The Chasm,Mexico,Death,1992,1
Sargatanas,Mexico,"Death,Black",1986,1
Agathodaimon,Germany,"Gothic,Symphonic,Black",1995,3
Aisling,Italy,"Melodic,Black",1998,1
Callenish Circle,Netherlands,"Melodic,Death",1992,3
Brocas Helm,United States,"Heavy,Epic",1982,1
Bewitched,Chile,"Heavy,Doom,Black,Ambient",1990,3
Cage,United States,"Heavy,Power",1992,1
Callahan,Poland,"Death,Gothic",1996,3
Sodom,Germany,"Thrash,Speed,Black",1981,1
Aurora Borealis,United States,"Death,Black",1994,1
Crystal Eyes,Sweden,Power,1992,1
Repent,Germany,Thrash,1992,1
Cerebral Fix,United Kingdom,"Thrash,Crossover",1986,1
Melechesh,Israel,"Middle,Death,Black,Folk,Eastern",1995,1
Fight,United States,"Thrash,Groove",1992,3
Scythe,Germany,"Death,Progressive",1994,3
Devil Lee Rot,Sweden,"Heavy,Doom,Blackened",2001,1
Thargos,Germany,"Thrash,Black",1995,3
Absolute Steel,Norway,Heavy,1999,3
Pyaemia,Netherlands,"Death,Brutal",1995,3
Battlelore,Finland,"Symphonic,Epic",1999,1
Bestial Mockery,Sweden,"Thrash,Black",1995,3
Fall of Empyrean,United States,"Death,Doom",2000,2
Midgard,United States,"Melodic,Death",2000,1
Order of Nine,United States,Power,2001,1
Spasme,Canada,"Technical,Death",1994,3
Obliveon,Canada,"Technical,Thrash,Death,Groove",1987,1
Paralysis,Netherlands,"Technical,Melodic,Thrash,Progressive",1986,3
Nephasth,Brazil,"Death,Brutal",1999,3
ParamÃ¦cium,Australia,"Death,Doom",1990,5
ÐÐ¾ÑÑÐ¾Ð·Ð¸Ñ ÐÐµÑÐ°Ð»Ð»Ð°,Russia,"Thrash,Punk,Grindcore,Industrial,Speed",1982,1
Pentacle,Netherlands,Death,1989,1
Pentagram,United States,Doom,1971,1
Power Crue,Greece,Power,1986,1
Deepred,Finland,"Death,Brutal",1999,3
Powers Court,United States,Power,nan,1
Prototype,United States,Progressive,1994,1
Psychosis,United States,Thrash,1988,1
Purgation,United States,Doom,nan,1
Murder Corporation,Sweden,"Death,Brutal",1995,3
Pandemia,Czech Republic,Death,1995,1
Omen,United States,Power,1983,1
October 31,United States,Heavy,1995,1
Houwitser,Netherlands,"Death,Brutal",1997,1
Rain Fell Within,United States,"Melodic,Symphonic,Atmospheric",1996,3
Runemagick,Sweden,"Death,Doom",1990,2
Red Right Hand,United States,"Thrash,Groove",1998,1
Reverend,United States,"Thrash,Power",1989,3
Sabatan,Spain,Heavy,1995,1
Sacred Blade,Canada,"Heavy,Progressive",1981,5
Sacred Rite,United States,Heavy,1980,3
Sacrifice,Canada,Thrash,1983,1
Sacrosanct,Netherlands,"Thrash,Progressive",1988,3
Agiel,United States,"Symphonic,Grindcore,Death,Black,Brutal",1997,1
Salem,Israel,"Death,Gothic,Doom",1985,1
Saratoga,Spain,"Heavy,Power",1992,1
Sathanas,United States,"Death,Blackened",1988,1
Savage Steel,Canada,"Thrash,Power",1981,3
Seth,France,Black,1995,1
Scepter,United States,Thrash,1993,3
Mental Home,Russia,"Melodic,Doom,Death",1993,1
Seasons of the Wolf,United States,"Heavy,Progressive",1988,1
Sedition,Australia,"Heavy,Thrash,Power",1999,3
Sentinel Beast,United States,"Thrash,Power",1984,1
Seventh Omen,United States,Power,1988,3
Seven Witches,United States,"Heavy,Power",1998,1
Shadowbreed,Netherlands,Death,1998,3
Silencer,United States,"Thrash,Death,Power",1998,1
Sinergy,Finland,Power,1997,3
Skullview,United States,Heavy,1995,1
Somnus,United States,"Gothic,Black",1995,3
Soulless,United States,"Melodic,Thrash,Death",1997,1
StÃ­ny PlamenÅ¯,Czech Republic,Black,1998,1
Sabaton,Sweden,Power,1999,1
Stone Vengeance,United States,Thrash,1978,1
Suidakra,Germany,"Melodic,Death,Black,Folk",1994,1
Steel Attack,Sweden,Power,1997,2
Tension,United States,"Thrash,Speed,Power",1985,2
The Awful Truth,United States,"Melodic,Heavy,Rock",1988,3
Galactic Cowboys,United States,Progressive,1989,1
Goddess of Desire,Netherlands,Heavy,1995,3
Trollech,Czech Republic,"Black,Pagan",1999,1
Tyrant,United States,Heavy,1978,1
Twisted Tower Dire,United States,Power,1995,1
Ultimatum,United States,Thrash,1992,1
Agressor,France,"Thrash,Death",1986,1
Urgrund,Australia,"Thrash,Black",1998,1
Usurper,United States,"Thrash,Black",1993,1
Urn,Finland,"Thrash,Black",1994,1
Vengeance Rising,United States,Thrash,1985,3
Black Abyss,Germany,"Thrash,Power",1990,1
Anathema,United Kingdom,"Death,Alternative,Doom,Progressive,Rock",1990,1
Benediction,United Kingdom,Death,1989,1
Berserk,Austria,Death,1997,3
Bound for Glory,United States,"Thrash,RAC,Oi,Crossover",1989,1
Superjoint Ritual,United States,"Sludge,Crossover",1993,5
Brutality,United States,Death,1987,1
Blood Feast,United States,Thrash,1986,1
