ime,drz,zvrst,leto,status
Thiasos Dionysos,Germany,Viking/Black/Folk Metal,2003,Unknown
Panomania,Norway,Progressive Metal,2000,Active
Disturbed,United States,Thrash Metal,1986,Split-up
Blasphemous,United States,Melodic Black/Death Metal,2003,On hold
Space Eater,Serbia,Thrash Metal,2003,Active
Skull,Italy,Heavy/Speed Metal,1983,Split-up
Synthesis,Italy,Heavy Metal,1978,Active
Revolt,Canada,Thrash Metal,1989,Split-up
Sanctus,United States,Thrash/Speed Metal,1987,Split-up
Goatfucker,United States,Raw Black Metal,2004,Active
Time Escape,Italy,Heavy Metal,1986,Split-up
Sinister,United States,Thrash Metal,1986,Split-up
The Gravity Guild,United States,Heavy/Doom Metal,2003,Active
Atomica,Russia,Progressive/Gothic Metal,2002,Split-up
Way Out,Italy,Heavy Metal,1983,Active
Automind,United States,Sludge/Doom Metal,1998,Unknown
Intestinal Infection,United States,Brutal Death Metal/Grindcore,2001,Active
Dark Cathedral,United States,Melodic Black/Gothic Metal,2004,Split-up
Rectify,Netherlands,Metalcore,2000,Split-up
Lifeless Vomit,Finland,Death Metal/Grindcore,N/A,Split-up
Absinth,Sweden,Death Metal,N/A,Split-up
Messenger,Hungary,Thrash Metal,1992,Active
Ghosts of Lemuria,United States,Symphonic Folk Metal,2003,On hold
Joshua Tree,United States,Progressive/Stoner Metal,N/A,Unknown
Militant,United States,Speed/Thrash Metal,2003,Active
Undertaking,Hungary,Thrash Metal,1988,Split-up
As Dusk Unfolds,United States,Melodic Death Metal/Metalcore,N/A,Split-up
Whorror,United States,Speed/Black Metal,1989,Active
Atomic,Hungary,Thrash Metal,1983,Split-up
Departed,United States,Death Metal,2003,Active
Kitten Remains,Hungary,Death Metal,1989,Split-up
Maggot Pigs on Tuesday,United States,Industrial Metal,2004,Split-up
Fish,France,Progressive Metal,2002,Changed name
Butcherpriest,United States,Industrial Metal,2003,Split-up
Bosque PagÃ£o,Brazil,Black Metal,2005,Unknown
Make a Change... Kill Yourself,Denmark,Depressive Black Metal/Ambient,2004,Active
Eden A.D.,United States,"Melodic Death Metal, Metalcore",2002,Active
Explosive Diarrhea,United States,Grindcore/Death Metal,2004,Split-up
Throne of Molok,Italy,Industrial Death/Black Metal,2004,Active
Khalabath,Brazil,Raw Black Metal,2003,Split-up
Necropsia,Hungary,"Death Metal (early), Metalcore (later)",1992,Active
Akeldam,Peru,Black Metal,2002,Active
Corrigenda,United States,Drone/Death Metal/Experimental,N/A,Unknown
Shadow of Demise,United States,Death/Groove Metal,2004,Active
Sanguinaria,Peru,Thrash/Heavy Metal,1989,Active
With Anger,United States,Grindcore/Death Metal,2002,Unknown
Cerebral Haemorrhage,Hungary,Death Metal,1994,Split-up
Circle of Tyrants,Mexico,Symphonic Folk/Black Metal,2004,Split-up
Final Redemption,United States,Deathcore,2004,On hold
Agonizer,Chile,Blackened Doom Metal,1998,Split-up
Grotesque,United States,Death Metal,N/A,Split-up
Oceans Afire,United States,Melodic Death Metal,2004,Split-up
Fields of the Filthy,Iceland,Black Metal,N/A,Split-up
Agonist,United States,Melodic Death Metal,2003,Active
15 Times Dead,United Kingdom,"Thrash/Groove Metal, Groove Metal (later)",2004,Active
Nightflower,Germany,"Black Metal, Thrash Metal",N/A,Split-up
Marquis,Germany,Melodic Heavy Metal,1993,Split-up
Died like Flies,Italy,Industrial Black Metal,1998,Split-up
Sheepgrinder,United States,Death Metal,2001,Unknown
Putrefied Flesh,United States,Death Metal/Metalcore,2005,Active
Revengeance,United States,Heavy Metal,2004,Changed name
Sick Death,United States,Death Metal,2002,Active
Last Dayz,United States,Heavy Metal,2002,Active
Ragnarok Fate,Mexico,Melodic Heavy/Speed Metal,2003,Unknown
Azamoth,Israel,Black Metal,2004,Active
URSS,Mexico,Industrial Death/Thrash Metal,2004,Unknown
Galokwudzuwis,Canada,Black Metal,2001,Split-up
Deus Irae,Venezuela,Progressive Metal,2002,Split-up
Morior,Russia,Death/Black Metal,1996,Active
Devastation,Brazil,Thrash Metal,2000,Active
D-Compose,Netherlands,Grindcore,2003,Active
Dislocated Cerebrum,Malaysia,Melodic Death Metal/Goregrind,2003,Split-up
Permanent Midnight,United States,Black Metal,1998,Split-up
Winds of Plague,United States,Symphonic Deathcore,2005,Active
Vigrid Plains,United States,Death/Black Metal,2003,Unknown
Rebirth,United States,Heavy/Thrash Metal,N/A,Split-up
Suicide Yourself... for the Devil,United States,Depressive Black Metal,2003,Split-up
Plankton,Brazil,Heavy Metal,1998,Active
Shredded,United States,Heavy Metal/Metalcore,2003,Split-up
Mars on Earth,Germany,Industrial Symphonic Black Metal,N/A,Split-up
LucÃ­fago Rofacale,Mexico,Black Metal,2004,Active
Sakrogoat,Chile,Black Metal,2005,Active
Pandaemonium,Canada,Melodic Black Metal,2004,Split-up
A Day to Fall,United States,Melodic Death/Thrash Metal,2003,Changed name
Cathar,United States,Black Metal,N/A,Unknown
Abhorrent,United States,Death/Black Metal,2004,Split-up
Wrench,United States,Heavy Metal,1997,Split-up
Dark Union,United States,Black/Death Metal,2004,Split-up
Strawels,Finland,Melodic Heavy Metal/Hard Rock,2002,Active
Akhkharu Noctis,Canada,Black Metal,1995,Split-up
Verloren,United States,Thrash/Heavy Metal,2003,Unknown
Savagery,Brazil,Thrash Metal,2000,Active
Dybbuk,Australia,Black Metal,1995,Split-up
Prepared to Kill,Brazil,Speed/Thrash Metal,1998,Active
Chaosmongers,United States,Thrash Metal,2002,Split-up
Demogorgon,United States,Death Metal,1991,Split-up
Creations Demise,United States,Death Metal/Grindcore,1997,Split-up
Erebus,Australia,Death Metal,1994,Split-up
Putrid Resurrection,United States,Death Metal/Grindcore,1988,Active
Disseminate,Australia,Death Metal,1996,Split-up
Manifescium,Australia,Death Metal,N/A,Split-up
Malachite,United States,Death/Groove Metal,N/A,Split-up
Thunder,Poland,Pagan Black Metal,1994,Split-up
Harrowing,United States,Blackened Death Metal,N/A,Active
Mythologica,Brazil,Black Metal,2004,Split-up
Tormentor of Christian Souls,Brazil,Black Metal,2002,Unknown
The Chargers,Canada,Heavy Metal,N/A,Split-up
Hecatomb,Australia,Death/Black/Thrash Metal,1987,Split-up
Gangrena Gasosa,Brazil,Thrash Metal/Crossover,1990,Active
Covenance,United States,Death Metal/Grindcore,2005,Active
Folkepruegel,Germany,Black Metal,N/A,Split-up
Ashura,France,Death Metal,2002,Unknown
Out for Blood,United States,Death Metal/Grindcore/Metalcore,2004,Changed name
Puky Spoon,Germany,Heavy/Power Metal,2000,Split-up
Dira Mortis,Poland,Death Metal,1998,Active
Prime Object,Turkey,Death Metal,2001,Active
Lead,United States,Brutal Death Metal,1994,Split-up
Deathterror,Germany,Heavy Metal,1999,Active
Funerary Ward,Argentina,Drone/Doom Metal,2003,Active
Kali Yuga,France,Experimental Black Metal,N/A,Split-up
Sadistic Souls,Hungary,Black Metal,2003,Split-up
Alone,France,Experimental Melodic Death Metal,1999,Split-up
Sacrasphemy,Germany,Symphonic Black/Death Metal,2002,Changed name
Mos Eisley,Hungary,Thrash Metal,2000,Split-up
Mumakil,Switzerland,Grindcore,2004,Active
Red Mourning,France,Stoner/Sludge Metal,2003,Active
Aracner,Spain,Progressive Metal,2002,Active
Necropolis,United States,Thrash/Speed Metal,1984,Split-up
Valkyrie,United States,Thrash/Speed/Power Metal,1985,Split-up
Luthor,Australia,Heavy Metal,2003,Active
Borea,Poland,Death/Thrash Metal,1988,Split-up
Sanctum,United States,Speed Metal,1985,Split-up
Machiavelik,France,Technical Brutal Death Metal,N/A,Split-up
Motorhell,Finland,Thrash/Heavy Metal,2001,Active
Whore of Babylon,United States,Speed/Thrash Metal,2004,Active
Macabre Visions,United Kingdom,Thrash/Death Metal,N/A,Active
Overcast,Hungary,"Doom/Death Metal (early), Doom Metal (later)",1999,Active
Gorephagia,Ecuador,Brutal Death Metal,2004,Active
Ante Lucem,Poland,Black Metal,1992,Split-up
Prancing Psycho,United States,Heavy Metal,N/A,Unknown
Sworn,Norway,Melodic Black Metal,2005,Active
Immortal Hate,Germany,Death Metal,1989,Changed name
Hirudinea,United States,Death/Black/Thrash Metal,1999,Active
Count Nosferatu,France,Black Metal,1996,Changed name
Tormentium,United States,Black Metal,2004,Active
Brutal Reality,United States,Death Metal/Grindcore,1994,Split-up
Pentaface,United States,Black Metal,2002,Split-up
Phonetica,United States,Thrash/Groove Metal,2000,Active
Gemini Lounge,United States,Deathcore/Thrash Metal,2003,Unknown
Sangfroid,Ukraine,"Black Metal (early), Death Metal (later)",2003,Active
After the Last Sky,United Kingdom,Death Metal/Grindcore/Metalcore,2004,Split-up
Funeral Dust,United States,Black Metal,2004,Active
Inflicted,United States,Melodic Thrash/Death Metal,N/A,Active
Exetheris,Greece,Black Metal,2004,Active
Sign of the Goat,United States,Black Metal,2004,Active
Systral,Germany,"Grindcore/Metalcore (early), Death 'n' Roll (later)",1995,Split-up
Heloisa,Malaysia,Death/Doom Metal,1993,Active
No Warning Shot,United States,"Grindcore, Death Metal",2004,Changed name
Samartary,Malaysia,Black/Thrash Metal,2003,Active
Attitude,Chile,Death Metal,2004,Unknown
Remains of Silence,Canada,Thrash/Death Metal,2000,Unknown
Red Nightmare,Brazil,Black Metal,2005,Unknown
Embers of Euphoria,United States,Melodic Power/Thrash/Progressive Metal,2004,Active
Superior,Sweden,Black Metal,1995,Split-up
Erug,Sweden,Black Metal,1993,Split-up
Wings of Scarlet,United States,Metalcore,2002,Split-up
Audet,Australia,Black Metal,2003,Split-up
Edenbeast,Russia,Melodic Death Metal,2002,Split-up
Zelda,France,Death Metal,1991,Split-up
Daniele Liverani,Italy,Progressive Metal/Rock,1988,Active
Chapel of Ghouls,France,Black Metal,1989,Split-up
Affluent of Styx,France,Black/Death Metal,1997,Split-up
Flaying,Latvia,Brutal Death Metal/Grindcore,2001,Active
Outcry,Italy,Melodic Death Metal,2003,Active
Ultimatum,Australia,Thrash Metal,1989,Split-up
Blood Red Fog,Finland,Black Metal,2004,Active
Bloodcraving,Germany,Death Metal,2004,Split-up
Hail Satanas,France,Black Metal,2003,Split-up
Absurd,Poland,Melodic Pagan Black Metal,2001,Split-up
HssH,France,Atmospheric Black Metal with Industrial elements,N/A,Split-up
Astral Sleep,Finland,"Death/Doom Metal (early), Psychedelic Doom Metal (later)",2004,Active
Hamburger Alien,France,Thrash Metal,1993,Unknown
Fenria,Sweden,Black Metal,2005,Split-up
Dreadful,France,Heavy/Thrash Metal,2001,Split-up
Hardened Bastards,France,Heavy Metal,2003,Split-up
Iskald,Norway,Melodic Black/Thrash Metal,2005,Active
Nowonmai,France,Melodic Heavy Metal/Rock,2004,Split-up
Mental Sickness,Finland,Heavy Metal,2001,Unknown
Kaothic,Spain,"Avant-garde, Progressive Death Metal",2001,Active
Society Declined,Japan,Melodic Death Metal,2000,Unknown
Heathendom,Greece,"Doom Metal, Power Metal",1998,Active
Repressed Crusader,United States,Thrash Metal,2004,Split-up
Hell,Czech Republic,Progressive Metal,2000,Split-up
Alzheimer,Italy,Metalcore/Deathcore with Grindcore influences,1999,Active
Fear of Darkness,Germany,Death Metal,1991,Split-up
Ben Jackson Group,United States,Heavy Metal,2001,Unknown
Flames of Revenge,Italy,Heavy Metal with Power and Thrash influences,2004,Split-up
Buried Angel,France,Black Metal,2004,Split-up
Entropia,Spain,"Death Metal/Grindcore (early), Drone/Doom Metal (later)",1994,Active
Sorgnatt,Romania,Black Metal,2005,Active
Hatred,Italy,Thrash Metal,N/A,Split-up
Khrysos Anthemon,Italy,Melodic Death/Black Metal,N/A,Split-up
Neurotomy,Italy,Death Metal,1993,Split-up
Selfportrait,New Zealand,Metalcore,1999,Changed name
Yatrogeny,Mexico,Melodic/Technical Black Metal,2003,Active
Obscure Disaster,Germany,Death Metal,1992,Split-up
Eldar V.T.B.,New Zealand,Black/Death Metal,1999,Changed name
Denial,New Zealand,Death/Thrash Metal,1993,Changed name
Aiwaz,Italy,Death Metal,1994,Split-up
Volsung,United States,Black Metal,2004,Split-up
Saidian,Germany,Power Metal,2004,Split-up
Dead Syndicate,United States,Death Metal,1997,Split-up
Eulogium,United States,Black Metal,2004,Active
Black Allegiance,United States,Black Metal,N/A,Split-up
Desecration,United States,Raw Black Metal,2004,Active
Cage of Serenity,Australia,Melodic Death Metal,2002,Active
Anguish,United States,Death Metal,N/A,Active
ON,Spain,Melodic Black/Death Metal,1997,Active
Erodead,Sweden,Death/Groove Metal,2002,Unknown
Mortuary,Germany,Death Metal,N/A,Split-up
Suiciety,Canada,Heavy/Thrash Metal,2000,Split-up
Herratik,Australia,Death/Thrash Metal,2004,Active
Dismal Gale,El Salvador,Melodic Black/Death Metal,1998,Active
Rituals in Pain,United States,Death Metal/Grindcore,2004,Active
Wiccan Rede,Romania,Symphonic Black Metal,1994,Changed name
Dark Haven,United States,Melodic Death Metal,2004,Split-up
To the Darker Grounds,Finland,Melodic Death Metal,2002,Changed name
Severed,United States,Death Metal,2002,Split-up
Demonicide,United States,Death/Thrash Metal,N/A,Unknown
Leprosy Terror,Spain,Death Metal,1986,Split-up
Endart,Germany,Death Metal,1994,Active
Neurotic Decay,United States,Melodic Industrial/Death/Thrash Metal,2004,Active
Primate,United States,Death Metal,1999,Active
Cyanide,United States,Thrash Metal,1985,Split-up
Winterheart,United Kingdom,Power Metal,2004,Split-up
Cromlech,Mexico,Black Metal,2001,Split-up
Bonesaw,United States,Thrash Metal/Crossover,1991,Split-up
Imperiled Eyes,Norway,Black Metal,2003,Split-up
Bel-Dalkhu,Australia,Death/Thrash Metal,2004,Active
Ground Control,Italy,Thrash Metal,2002,Split-up
Christcrusher,United States,Death Metal,2000,Active
Remaining Anonymous,United States,Heavy/Thrash Metal,2000,Split-up
Diablo,Australia,Death Metal,N/A,Changed name
Apoplexy,United States,Death Metal/Grindcore,2002,Active
Skeleton Proof Tanks,United States,Melodic Death/Thrash Metal,2004,Changed name
Kirwes,Finland,Heavy Metal,2001,Active
Blood Gnome,United States,Black/Death Metal/Grindcore,N/A,Unknown
Cataglyphis,United States,Black Metal,2001,Split-up
Demogorgon,United States,Death/Thrash Metal,1987,Split-up
Black Wolf Sakrifice,United States,Black/Death Metal,2005,Unknown
By Solitude,United States,Melodic Death Metal,N/A,Active
Empire's Darkness,Mexico,Thrash/Death/Black Metal,1997,Active
Asspounder,United States,Black Metal,2003,On hold
Obstruo,United States,Black Metal,2005,Split-up
Kenaz,Canada,Pagan Black Metal,2002,Active
Victor Griffin,United States,Doom Metal/Hard Rock,1988,Split-up
Black Alliance,United States,Grindcore/Death Metal/Experimental,N/A,Active
Rotten Cross,United States,Melodic Black Metal,N/A,Unknown
Disgusting,United States,Brutal Death Metal,2004,Active
Blackdeath,United States,Blackened Thrash Metal,2003,Changed name
Angel Martum,United States,Symphonic Black Metal,2004,Split-up
Frozen Within Flames,United States,Death/Thrash Metal,N/A,Unknown
Cataleptic,Finland,Melodic Doom/Death Metal,2003,Active
Era Nova,France,Melodic/Symphonic Heavy Metal,2002,Active
Dream Wild,Brazil,Heavy Metal,1995,Active
Wildpath,France,Symphonic Power Metal,2001,Active
Bereft,United States,Black Metal,N/A,Active
Violencia,Peru,Thrash/Death Metal,1998,Active
Sacrom,Peru,Heavy Metal,2001,Active
Eons Hated,United States,Melodic Black Metal,N/A,Unknown
Satrias,Peru,Death Metal/Grindcore,2002,Unknown
Amora Savant,United States,Metalcore,2004,Split-up
Nocturnal Altar,United States,Black Metal,2004,Split-up
Job for a Cowboy,United States,"Deathcore/Death Metal (early), Progressive Death Metal (later)",2003,Active
Indian,United States,Sludge/Doom Metal/Noise,2003,Split-up
Unlucky Buried,Belarus,Brutal Death Metal,2002,Active
Miserable Hermit,United States,Black Metal,N/A,Unknown
Praeter Caelestis,United States,Black Metal,2004,Active
Ralmador,Chile,Black/Doom Metal,2000,Active
Cakewet,Switzerland,Brutal Death Metal/Grindcore,2002,Split-up
Awake,United States,Progressive Metal,1989,Split-up
Nosferatu,Indonesia,Thrash Metal,1993,Split-up
Dysthanasia,Finland,Doom Metal,2003,Unknown
Tears of Grief,Sweden,Black Metal,1995,Split-up
Sucker Head,Indonesia,Death/Thrash Metal,1989,Active
Sarrgh,Germany,Black Metal,2003,Active
Stockenfels,Germany,Heavy Metal/Hard Rock,1999,Changed name
Sephyros,Netherlands,Gothic Metal,2002,Active
Aaarghhh,Indonesia,Technical Brutal Death Metal,1995,Active
Dominion,Netherlands,Thrash Metal,2002,Split-up
Left to Bleed,Finland,Death Metal,2004,Unknown
Xaiphodius,Sweden,Heavy Metal,2002,Changed name
Asteroidica,Sweden,Heavy Metal,2003,Unknown
Amorticure,Germany,"Gothic/Death Metal (early), Gothic Rock (later)",2000,Active
Demoniac,Germany,Black Metal,1993,Active
Necrovile,Netherlands,Brutal Death Metal,2000,Split-up
Imprudence,Belarus,Brutal Death Metal/Grindcore,2000,Active
Corporal Mortification,Norway,Death/Black/Thrash Metal,2003,Split-up
Faithful Darkness,Sweden,"Melodic Death/Thrash Metal (early), Melodic Groove Metal (later)",2004,Active
Ð§ÑÑÐ½Ð°Ñ ÐÐµÑÐºÐ°,Russia,Heavy Metal,2001,On hold
Doom:VS,Sweden,Funeral Doom/Death Metal,2004,Active
Art of Violence,Germany,Melodic Death Metal,2001,Active
Blessed Suicide,Germany,Gothic/Doom Metal,1999,Active
Naughty Naughty,United States,Heavy Metal,1995,Split-up
Condemned to Suffer,United States,Metalcore,2001,Split-up
Aeonic,Sweden,Thrash/Death Metal,2004,Split-up
Aborted Jesus,United States,Death/Thrash Metal,2001,Split-up
Matrix,United States,Progressive/Power Metal,1983,Split-up
Collapse,Canada,Death Metal/Grindcore,2001,Active
Across Tundras,United States,Progressive Psychedelic Doom/Stoner Metal/Rock,2003,Active
Spur,Canada,Death Metal,1996,Split-up
Kaos,Canada,Thrash Metal,1997,Split-up
Grimburg,Germany,Pagan Metal,2003,Split-up
Seol,Turkey,Black Metal,2004,Split-up
Chaotic Roots,Canada,Thrash Metal,2000,Split-up
Afterlife,United States,Grunge/Doom/Black/Thrash Metal,2004,Changed name
Vituperation,Sweden,Death/Thrash Metal,2004,Split-up
Pathetic,Austria,Melodic Death Metal,1994,Changed name
Scent of Paradise,Austria,Doom/Death Metal,1992,Changed name
Endless Blizzard,United States,Black Metal,1997,Unknown
Anaemica,Belgium,Death/Black Metal,1997,Changed name
Sermonshift,Finland,Heavy Metal,2004,On hold
Sorrow Born,United States,Blackened Melodic Death Metal,2005,Active
7th Circle,Belgium,Progressive Metal,1994,Split-up
Leachim,Greece,Black Metal,2001,Split-up
Near Dark,Netherlands,Progressive Death Metal,1989,Split-up
Misantropia,Chile,Thrash/Black Metal,2004,Active
Stake of God,Italy,Industrial Black Metal,2003,Active
Jumbo's Killcrane,United States,Sludge/Doom Metal,1998,On hold
Winds ov Agony,United States,Depressive Black Metal,2000,Active
Svart Tre,United Kingdom,Black Metal,2005,Split-up
Infection Zero,Germany,Melodic Death Metal,2002,Changed name
Primordium,United States,Technical Death Metal/Grindcore,2002,Active
Mighty Thor,Mexico,Epic Power Metal,2001,Active
Matraz,Chile,Progressive Metal,1996,Active
Re-Animator,United States,Thrash/Death Metal,N/A,Split-up
Angerstrike,United States,Death Metal/Metalcore,2001,Split-up
Athron,Brazil,Thrash Metal,1986,Split-up
Wolfthroat,Mexico,Black Metal,2004,Unknown
Bloody Hell,Finland,Heavy Metal,2000,Active
Bad Yodelers,United States,Thrash Metal/Crossover,1983,Changed name
ÐÑÐ¿Ð¸Ð´,Russia,Technical/Progressive Thrash Metal,1988,Split-up
Cherub,Germany,Alternative/Thrash/Progressive Metal,1994,Split-up
Spectral Birth,Australia,Death/Thrash Metal,1988,Split-up
Anapilis,Lithuania,"Black/Folk Metal (early), Darkwave (later)",1998,On hold
Blodfest,Denmark,Black Metal,1992,Split-up
Xzanthus,United States,Thrash Metal,1988,Split-up
IâMâL,Canada,Groove Metal,N/A,Split-up
Priority,Italy,Death/Thrash Metal,N/A,Split-up
Ãnima Sola,Spain,Heavy/Power Metal,1998,Split-up
Notarium,United States,Atmospheric Black Metal,2005,Unknown
Camembert,Argentina,Thrash Metal,1991,Split-up
Nexis,Spain,Heavy/Power Metal,N/A,Split-up
Pestiun,Australia,Black Metal,2003,Split-up
Wolfgate,United States,Symphonic Black Metal,2005,Active
Land of Fire,Chile,Power Metal,2004,Split-up
Alazith,United States,Melodic Death Metal,N/A,Changed name
Gates of Purgatory,United States,Melodic Death Metal,2004,Unknown
Cryostasium,United States,Black Metal/Ambient/Industrial,2002,Active
Nekroholocaust,United States,Black/Death Metal,1987,Split-up
Vredgad,Sweden,Black Metal,2004,On hold
Totenreich,Germany,Black Metal,1995,Changed name
Midmortemtorment,Canada,Technical Death Metal,N/A,Split-up
Emperial Massacre,United States,Death Metal,2005,Active
Threat Signal,Canada,Technical Metalcore,2004,Active
Katie King,Spain,Heavy Metal/Hard Rock,1992,Split-up
Gigatron,Spain,Heavy/Speed Metal,1997,Active
Monolith,United States,Black/Death/Thrash Metal,2001,On hold
Slum Scum,Malaysia,Death Metal/Grindcore,1991,Split-up
SnÃ¶tÃ¥rar,Sweden,Black Metal,2004,Split-up
Neandertahl,United Kingdom,Death Metal/Metalcore,2004,On hold
Cronos,Cuba,Death Metal/Grindcore,1990,Changed name
CurÃ¡ro,Italy,Thrash Metal,1986,Split-up
Intended Victim,Australia,Thrash/Death Metal,2003,Split-up
Evil,Poland,Heavy Metal,1982,Changed name
Devil's Claws,Italy,Heavy Metal,1983,Split-up
Unknown,Peru,Heavy/Power Metal,2004,Unknown
Schyte,Italy,Heavy Metal/Hard Rock,N/A,Split-up
Sphinx,Germany,Heavy Metal,N/A,Split-up
Darkspawn,United States,Black Metal,2004,Changed name
Uraniah,Italy,Heavy Metal,1986,Split-up
Bells of Insanity,France,Death/Thrash Metal,2004,Changed name
The Bedlam,Hungary,Technical Thrash Metal,1987,Unknown
Dagalur,Serbia,Black/Death Metal,2005,Split-up
Crimson Evenfall,Finland,Black Metal,1994,Changed name
Desecrate the Hour,United States,Metalcore,N/A,Changed name
Black Stench,Finland,Black Metal,N/A,Active
Morgue Gariba,Mexico,Brutal Death Metal/Grindcore,2004,Changed name
Execrate,Germany,Death Metal,1994,Split-up
Zandrium,Finland,Black Metal,2004,Changed name
Britannia,Argentina,Heavy Metal,1985,Active
Goro,Italy,Death Metal,2002,Split-up
Atomkrieg,Italy,Heavy Metal,1993,Split-up
Ardual,Finland,Melodic Death Metal,2003,Split-up
Chris Heaven,Italy,"Heavy Metal/Hard Rock, Pop/Rock",1989,Active
Inferion,United States,Blackened Melodic Death Metal,1995,Active
Sonic Pulsar,Portugal,Progressive Metal/Rock,2000,Active
Fabrica de CanÃ­bales,Ecuador,Grindcore/Death Metal,1996,Split-up
Shiver,Sweden,Heavy Metal,2001,Split-up
Mortu Noferacius,Argentina,Brutal Death Metal,N/A,Split-up
Zarg,Brazil,Progressive Metal,1993,Active
Demon's Flesh,Argentina,Death/Thrash Metal,2004,Split-up
Bonedust,United States,Black/Death Metal,N/A,Split-up
Abigail Eternal,Peru,Melodic Black Metal,2002,Active
Saints of Pain,United States,Doom/Death Metal,1993,Split-up
Seraph,United States,Thrash/Groove Metal,1993,Split-up
Starved and Delirious,United States,Crossover,1992,Split-up
Godes Yrre,Cuba,Death Metal,1994,Split-up
Snap Judgment,United States,Crossover,1990,Split-up
Morak,Italy,Gothic/Black Metal,2004,Split-up
Resistance,United States,Thrash/Power Metal,1987,Split-up
Aecron,Finland,Thrash/Death/Black Metal,2005,Split-up
Greenmachine,Japan,Stoner/Sludge Metal/Grindcore,1995,Active
Ãlfengard,France,Pagan Black Metal,2004,Active
Born Without a God,United States,Melodic Black/Death Metal,2005,Split-up
Lords of Darkness,United States,Black/Thrash Metal,N/A,Unknown
The Magik Way,Italy,Black Metal/Dark Ambient,1996,Active
Goregate,Germany,Death/Thrash Metal,1991,Active
Blustery Caveat,Greece,Brutal Death Metal,2002,Active
Mysteriarch,United States,Symphonic Black Metal,2001,Active
Taste of Blood,Germany,Melodic Death/Thrash Metal,2003,Split-up
Hellusination,United States,Death Metal,N/A,Active
Eclipse,Hungary,"Thrash Metal (early), Progressive Metal (later)",1990,On hold
Stradion,United States,Thrash Metal,1989,Active
Comandatory,Sweden,Death Metal,1992,Split-up
Golgatha,United States,Heavy Metal,1983,Split-up
Shroud of Silence,United States,Heavy Metal,1993,Split-up
Aggressor,United Kingdom,"Thrash Metal (early), Heavy/Speed Metal (later)",2004,Split-up
Tenebrae Oboriuntur,Italy,Symphonic Black Metal,N/A,Unknown
Black Boned Angel,New Zealand,Drone/Doom Metal,N/A,Split-up
Hordach,Finland,Black Metal,N/A,Split-up
Mendeed,United Kingdom,"Nu-Metal (early), Melodic Death Metal/Metalcore (later)",2000,Split-up
Nova Epica,Guatemala,Power Metal,1999,Active
Cor,Germany,Death Metal,1996,Split-up
Apeiron,Colombia,Death Metal,1999,Changed name
Mystical Death,Colombia,Black Metal,1998,Active
Coffin Fodder,United Kingdom,Black/Gothic Metal,N/A,Split-up
Mental Frost,Finland,Dark Metal,2006,Split-up
Satan's Soldiers,United States,Black/Extreme Gothic Metal,2003,Active
Carbide,United States,Thrash Metal,1983,On hold
Aeons of Eclipse,United States,Death Metal,2004,Split-up
Carpe Mortem,United States,Death/Thrash Metal,2004,Split-up
Depth of Depravity,United States,Blackened Death Metal,N/A,Split-up
Blue Steel,Finland,Heavy Metal,2003,Split-up
Dayblind,Canada,Death/Black/Heavy Metal,2003,Split-up
Ira Projeckts,Chile,Death Metal,2004,Active
Midnightmare,Brazil,Brutal Death Metal,1999,Active
Psykra,Germany,Black Metal,1998,Active
Obsidian,United States,Black/Death/Thrash Metal,2000,Changed name
Katatonic Despair,Belarus,Grindcore,2004,Split-up
Openwide,Sweden,Dark/Doom Metal,2004,Active
Last Act of Man,United States,Doom/Sludge Metal,2003,Split-up
RIP,Belarus,Death/Black Metal,1999,Split-up
Everdespair,Finland,Gothic Metal,2001,Split-up
Cultic Pulp,Hungary,Thrash Metal,1991,Split-up
Dissect,Hungary,Death Metal,1989,Split-up
Lily Marlene,Hungary,Thrash Metal,N/A,Split-up
Mirror,Hungary,Black/Thrash Metal,1988,Split-up
Piranha,United States,Thrash Metal,N/A,Split-up
Lobotomy,Argentina,Death Metal,N/A,Changed name
Spellbound Dreams,Germany,Heavy Metal,1997,Active
Slogan,Hungary,"Thrash Metal (early), Progressive Metal (later)",1989,Active
Witchcraft,Switzerland,Heavy Metal,1983,Changed name
Dreft,Belgium,"Grindcore (early), Death Metal (mid), Doom/Death Metal (later)",1986,Split-up
Crash,Bulgaria,Thrash Metal,1988,Split-up
Chaos Symphony,United States,Brutal Death Metal,1996,Active
My Son My Executioner,United States,Melodic Death Metal/Metalcore,2005,Active
Crescent,Israel,Death Metal,N/A,Split-up
Dark Side,Italy,Progressive Metal,2003,Unknown
Dark Ages,Ukraine,Dark Ambient,2004,Split-up
Against All,United Kingdom,Progressive Black/Death Metal,N/A,Unknown
Black Hill,Czech Republic,Groove Metal/Rock,2001,Active
Heresy,Italy,Power Metal,1997,Changed name
Rule of Thumb,Belgium,Death Metal/Deathcore,1997,Changed name
Herejia,Colombia,Death/Thrash Metal,1991,Active
Renaissance,Belgium,Progressive Death/Doom Metal,1991,Changed name
Allerjen,United Kingdom,"Groove/Sludge Metal (early), Death Metal (later)",2002,Split-up
Rigor Mortis,Argentina,Death/Thrash Metal,1994,Active
Sublimation,United States,Heavy/Power Metal,1992,Split-up
Slag-9,United States,Death Metal,1994,Split-up
Hesperus Dimension,Poland,Industrial Black Metal,2000,Active
Shades of Grey,United States,Technical Thrash Metal,N/A,Split-up
Illyrian,Belgium,Deathcore,1997,Split-up
Rinascimento,Belgium,Progressive Metal,1995,Changed name
